,43,44,splitless_fname45,split_fname46,47,49,51,cone adjust_fname52,42,00,02,06,08,35,ODP 0.5/0.5_fname00,ODP 0.5/off_fname02,ODP small nozzle 0.5/0.5_fname06,ODP small nozzle 0.5/off_fname08,ODP 0.5/0.5_fname35,TYGON 0.5/0.5_fname46
0.1904,-0.00011037751004,0.000136666666667,,0.000392963855422,-0.000257638554217,0.00117116465863,,-0.00393581526104,-2.4562248996e-05,0.000308787148594,-1.53815261044e-05,-4.45381526104e-05,0.00024881124498,0.000125534136546,0.000308787148594,-1.53815261044e-05,-4.45381526104e-05,0.00024881124498,0.000125534136546,0.000392963855422
0.192,-9.63775100401e-05,0.000146666666667,,0.000386963855422,-0.000177638554217,0.00123516465863,,-0.00367981526104,-2.4562248996e-05,0.000302787148594,-5.38152610442e-06,-3.05381526104e-05,0.00024881124498,0.000115534136546,0.000302787148594,-5.38152610442e-06,-3.05381526104e-05,0.00024881124498,0.000115534136546,0.000386963855422
0.1936,-8.43775100401e-05,0.000140666666667,,0.000384963855422,-0.000145638554217,0.00124716465863,,-0.00347981526104,-3.4562248996e-05,0.000322787148594,-9.38152610442e-06,-4.05381526104e-05,0.00023281124498,0.000127534136546,0.000322787148594,-9.38152610442e-06,-4.05381526104e-05,0.00023281124498,0.000127534136546,0.000384963855422
0.1952,-8.63775100401e-05,0.000122666666667,,0.000386963855422,-0.000141638554217,0.000987164658635,,-0.00324981526104,-4.4562248996e-05,0.000332787148594,-1.73815261044e-05,-3.65381526104e-05,0.00023081124498,0.000131534136546,0.000332787148594,-1.73815261044e-05,-3.65381526104e-05,0.00023081124498,0.000131534136546,0.000386963855422
0.1968,-9.23775100401e-05,0.000134666666667,,0.000392963855422,-0.000197638554217,0.000699164658635,,-0.00300381526104,-3.6562248996e-05,0.000316787148594,-2.13815261044e-05,-3.45381526104e-05,0.00023481124498,0.000139534136546,0.000316787148594,-2.13815261044e-05,-3.45381526104e-05,0.00023481124498,0.000139534136546,0.000392963855422
0.1984,-0.00010037751004,0.000144666666667,,0.000382963855422,-0.000205638554217,0.000519164658635,,-0.00274981526104,-3.8562248996e-05,0.000284787148594,-2.13815261044e-05,-4.65381526104e-05,0.00022081124498,0.000143534136546,0.000284787148594,-2.13815261044e-05,-4.65381526104e-05,0.00022081124498,0.000143534136546,0.000382963855422
0.2,-0.00010037751004,0.000136666666667,,0.000382963855422,-0.000169638554217,0.000475164658635,,-0.00257181526104,-4.8562248996e-05,0.000282787148594,-3.38152610442e-06,-5.45381526104e-05,0.00020081124498,0.000127534136546,0.000282787148594,-3.38152610442e-06,-5.45381526104e-05,0.00020081124498,0.000127534136546,0.000382963855422
0.2016,-8.63775100401e-05,0.000122666666667,,0.000374963855422,-0.000101638554217,0.000411164658635,,-0.00242381526104,-5.8562248996e-05,0.000310787148594,-1.13815261044e-05,-5.85381526104e-05,0.00019481124498,0.000123534136546,0.000310787148594,-1.13815261044e-05,-5.85381526104e-05,0.00019481124498,0.000123534136546,0.000374963855422
0.2032,-8.83775100401e-05,0.000114666666667,,0.000372963855422,-6.96385542169e-05,0.000331164658635,,-0.00225181526104,-6.8562248996e-05,0.000296787148594,-1.33815261044e-05,-6.65381526104e-05,0.00018481124498,0.000113534136546,0.000296787148594,-1.33815261044e-05,-6.65381526104e-05,0.00018481124498,0.000113534136546,0.000372963855422
0.2048,-9.83775100401e-05,0.000100666666667,,0.000366963855422,-5.63855421687e-06,0.000319164658635,,-0.00203981526104,-7.0562248996e-05,0.000302787148594,-1.53815261044e-05,-5.25381526104e-05,0.00018281124498,0.000107534136546,0.000302787148594,-1.53815261044e-05,-5.25381526104e-05,0.00018281124498,0.000107534136546,0.000366963855422
0.2064,-0.00010637751004,0.000104666666667,,0.000352963855422,-0.000109638554217,0.000419164658635,,-0.00181381526104,-6.4562248996e-05,0.000304787148594,-2.73815261044e-05,-6.85381526104e-05,0.00019081124498,9.75341365462e-05,0.000304787148594,-2.73815261044e-05,-6.85381526104e-05,0.00019081124498,9.75341365462e-05,0.000352963855422
0.208,-0.00011437751004,9.06666666667e-05,,0.000324963855422,-0.000121638554217,0.000451164658635,,-0.00159381526104,-6.2562248996e-05,0.000294787148594,-2.73815261044e-05,-6.25381526104e-05,0.00020081124498,0.000113534136546,0.000294787148594,-2.73815261044e-05,-6.25381526104e-05,0.00020081124498,0.000113534136546,0.000324963855422
0.2096,-0.00012037751004,7.46666666667e-05,,0.000302963855422,-8.56385542169e-05,0.000535164658635,,-0.00137781526104,-6.8562248996e-05,0.000232787148594,-2.33815261044e-05,-5.85381526104e-05,0.00021281124498,0.000101534136546,0.000232787148594,-2.33815261044e-05,-5.85381526104e-05,0.00021281124498,0.000101534136546,0.000302963855422
0.2112,-0.00011637751004,6.86666666667e-05,,0.000298963855422,-6.96385542169e-05,0.000787164658635,,-0.00115781526104,-6.0562248996e-05,0.000210787148594,-2.93815261044e-05,-7.45381526104e-05,0.00022281124498,0.000105534136546,0.000210787148594,-2.93815261044e-05,-7.45381526104e-05,0.00022281124498,0.000105534136546,0.000298963855422
0.2128,-0.00012437751004,5.66666666667e-05,,0.000278963855422,-4.96385542169e-05,0.000787164658635,,-0.000903815261044,-5.0562248996e-05,0.000252787148594,-3.53815261044e-05,-8.05381526104e-05,0.00021281124498,9.15341365462e-05,0.000252787148594,-3.53815261044e-05,-8.05381526104e-05,0.00021281124498,9.15341365462e-05,0.000278963855422
0.2144,-0.00014037751004,4.66666666667e-05,,0.000270963855422,1.03614457831e-05,0.000759164658635,,-0.000695815261044,-5.4562248996e-05,0.000284787148594,-5.13815261044e-05,-8.05381526104e-05,0.00020881124498,0.000103534136546,0.000284787148594,-5.13815261044e-05,-8.05381526104e-05,0.00020881124498,0.000103534136546,0.000270963855422
0.216,-0.00014637751004,5.26666666667e-05,,0.000262963855422,0.000194361445783,0.000759164658635,,-0.000473815261044,-3.6562248996e-05,0.000304787148594,-6.33815261044e-05,-9.25381526104e-05,0.00020281124498,9.95341365462e-05,0.000304787148594,-6.33815261044e-05,-9.25381526104e-05,0.00020281124498,9.95341365462e-05,0.000262963855422
0.2176,-0.00014237751004,4.26666666667e-05,,0.000266963855422,0.000262361445783,0.000963164658635,,-0.000299815261044,-4.0562248996e-05,0.000306787148594,-6.53815261044e-05,-9.45381526104e-05,0.00018681124498,8.75341365462e-05,0.000306787148594,-6.53815261044e-05,-9.45381526104e-05,0.00018681124498,8.75341365462e-05,0.000266963855422
0.2192,-0.00014437751004,3.86666666667e-05,,0.000256963855422,0.000270361445783,0.000899164658635,,-4.18152610442e-05,-4.0562248996e-05,0.000326787148594,-7.13815261044e-05,-8.45381526104e-05,0.00018881124498,8.75341365462e-05,0.000326787148594,-7.13815261044e-05,-8.45381526104e-05,0.00018881124498,8.75341365462e-05,0.000256963855422
0.2208,-0.00013037751004,3.86666666667e-05,,0.000240963855422,0.000286361445783,0.000963164658635,,0.000192184738956,-4.6562248996e-05,0.000322787148594,-6.73815261044e-05,-6.45381526104e-05,0.00019881124498,7.75341365462e-05,0.000322787148594,-6.73815261044e-05,-6.45381526104e-05,0.00019881124498,7.75341365462e-05,0.000240963855422
0.2224,-0.00012637751004,3.66666666667e-05,,0.000252963855422,0.000234361445783,0.00104716465863,,0.000410184738956,-4.2562248996e-05,0.000324787148594,-6.93815261044e-05,-7.25381526104e-05,0.00018681124498,7.75341365462e-05,0.000324787148594,-6.93815261044e-05,-7.25381526104e-05,0.00018681124498,7.75341365462e-05,0.000252963855422
0.224,-0.00012837751004,2.86666666667e-05,,0.000248963855422,0.000250361445783,0.00109516465863,,0.000582184738956,-2.8562248996e-05,0.000298787148594,-6.13815261044e-05,-6.05381526104e-05,0.00019081124498,7.55341365462e-05,0.000298787148594,-6.13815261044e-05,-6.05381526104e-05,0.00019081124498,7.55341365462e-05,0.000248963855422
0.2256,-0.00012437751004,1.46666666667e-05,,0.000230963855422,0.000318361445783,0.00103916465863,,0.000762184738956,-2.6562248996e-05,0.000240787148594,-5.53815261044e-05,-4.65381526104e-05,0.00020681124498,8.15341365462e-05,0.000240787148594,-5.53815261044e-05,-4.65381526104e-05,0.00020681124498,8.15341365462e-05,0.000230963855422
0.2272,-0.00012637751004,1.46666666667e-05,,0.000228963855422,0.000358361445783,0.000979164658635,,0.000952184738956,-2.0562248996e-05,0.000258787148594,-5.73815261044e-05,-4.45381526104e-05,0.00020881124498,8.15341365462e-05,0.000258787148594,-5.73815261044e-05,-4.45381526104e-05,0.00020881124498,8.15341365462e-05,0.000228963855422
0.2288,-0.00013437751004,1.46666666667e-05,,0.000224963855422,0.000326361445783,0.000967164658635,,0.00113818473896,-3.2562248996e-05,0.000262787148594,-5.33815261044e-05,-1.25381526104e-05,0.00021481124498,8.95341365462e-05,0.000262787148594,-5.33815261044e-05,-1.25381526104e-05,0.00021481124498,8.95341365462e-05,0.000224963855422
0.2304,-0.00014037751004,2.26666666667e-05,,0.000204963855422,0.000294361445783,0.000831164658635,,0.00135018473896,-3.2562248996e-05,0.000228787148594,-4.93815261044e-05,9.46184738956e-06,0.00020681124498,7.75341365462e-05,0.000228787148594,-4.93815261044e-05,9.46184738956e-06,0.00020681124498,7.75341365462e-05,0.000204963855422
0.232,-0.00015237751004,1.46666666667e-05,,0.000200963855422,0.000262361445783,0.000731164658635,,0.00154818473896,-3.8562248996e-05,0.000234787148594,-5.33815261044e-05,-2.53815261044e-06,0.00021481124498,6.95341365462e-05,0.000234787148594,-5.33815261044e-05,-2.53815261044e-06,0.00021481124498,6.95341365462e-05,0.000200963855422
0.2336,-0.00016237751004,2.66666666667e-05,,0.000210963855422,0.000262361445783,0.000675164658635,,0.00176218473896,-5.2562248996e-05,0.000256787148594,-5.93815261044e-05,-6.53815261044e-06,0.00021281124498,7.15341365462e-05,0.000256787148594,-5.93815261044e-05,-6.53815261044e-06,0.00021281124498,7.15341365462e-05,0.000210963855422
0.2352,-0.00016837751004,2.26666666667e-05,,0.000218963855422,0.000262361445783,0.000671164658635,,0.00197218473896,-5.8562248996e-05,0.000246787148594,-6.53815261044e-05,-2.05381526104e-05,0.00022081124498,6.55341365462e-05,0.000246787148594,-6.53815261044e-05,-2.05381526104e-05,0.00022081124498,6.55341365462e-05,0.000218963855422
0.2368,-0.00015437751004,8.66666666667e-06,,0.000216963855422,0.000246361445783,0.000735164658635,,0.00220218473896,-6.2562248996e-05,0.000252787148594,-5.93815261044e-05,-3.85381526104e-05,0.00021481124498,5.75341365462e-05,0.000252787148594,-5.93815261044e-05,-3.85381526104e-05,0.00021481124498,5.75341365462e-05,0.000216963855422
0.2384,-0.00016037751004,-9.33333333333e-06,,0.000218963855422,0.000190361445783,0.000667164658635,,0.00244018473896,-6.0562248996e-05,0.000240787148594,-6.93815261044e-05,-1.85381526104e-05,0.00021481124498,4.95341365462e-05,0.000240787148594,-6.93815261044e-05,-1.85381526104e-05,0.00021481124498,4.95341365462e-05,0.000218963855422
0.24,-0.00015237751004,-2.33333333333e-05,,0.000216963855422,0.000154361445783,0.000635164658635,,0.00263818473896,-4.6562248996e-05,0.000224787148594,-5.33815261044e-05,-8.53815261044e-06,0.00020481124498,5.55341365462e-05,0.000224787148594,-5.33815261044e-05,-8.53815261044e-06,0.00020481124498,5.55341365462e-05,0.000216963855422
0.2416,-0.00017237751004,-2.53333333333e-05,,0.000206963855422,0.000226361445783,0.000471164658635,,0.00285618473896,-3.4562248996e-05,0.000242787148594,-4.53815261044e-05,-1.05381526104e-05,0.00020481124498,6.55341365462e-05,0.000242787148594,-4.53815261044e-05,-1.05381526104e-05,0.00020481124498,6.55341365462e-05,0.000206963855422
0.2432,-0.00017237751004,-3.93333333333e-05,,0.000198963855422,0.000166361445783,0.000383164658635,,0.00306218473896,-4.0562248996e-05,0.000214787148594,-3.53815261044e-05,-2.53815261044e-06,0.00020881124498,6.35341365462e-05,0.000214787148594,-3.53815261044e-05,-2.53815261044e-06,0.00020881124498,6.35341365462e-05,0.000198963855422
0.2448,-0.00017037751004,-4.93333333333e-05,,0.000198963855422,6.63614457831e-05,0.000339164658635,,0.00328218473896,-3.8562248996e-05,0.000160787148594,-4.53815261044e-05,-6.53815261044e-06,0.00019881124498,6.95341365462e-05,0.000160787148594,-4.53815261044e-05,-6.53815261044e-06,0.00019881124498,6.95341365462e-05,0.000198963855422
0.2464,-0.00017637751004,-4.33333333333e-05,,0.000190963855422,2.36144578313e-06,0.000403164658635,,0.00348018473896,-4.4562248996e-05,0.000120787148594,-4.93815261044e-05,-2.53815261044e-06,0.00019081124498,6.95341365462e-05,0.000120787148594,-4.93815261044e-05,-2.53815261044e-06,0.00019081124498,6.95341365462e-05,0.000190963855422
0.248,-0.00018837751004,-4.73333333333e-05,,0.000194963855422,1.03614457831e-05,0.000315164658635,,0.00365018473896,-6.0562248996e-05,2.47871485944e-05,-5.33815261044e-05,-2.53815261044e-06,0.00020281124498,6.95341365462e-05,2.47871485944e-05,-5.33815261044e-05,-2.53815261044e-06,0.00020281124498,6.95341365462e-05,0.000194963855422
0.2496,-0.00018437751004,-4.73333333333e-05,,0.000172963855422,7.43614457831e-05,0.000227164658635,,0.00389618473896,-6.0562248996e-05,-9.21285140562e-06,-4.93815261044e-05,1.54618473896e-05,0.00018681124498,8.55341365462e-05,-9.21285140562e-06,-4.93815261044e-05,1.54618473896e-05,0.00018681124498,8.55341365462e-05,0.000172963855422
0.2512,-0.00019437751004,-2.53333333333e-05,,0.000154963855422,0.000186361445783,0.000143164658635,,0.00408618473896,-6.2562248996e-05,-1.72128514056e-05,-3.73815261044e-05,5.46184738956e-06,0.00017081124498,8.55341365462e-05,-1.72128514056e-05,-3.73815261044e-05,5.46184738956e-06,0.00017081124498,8.55341365462e-05,0.000154963855422
0.2528,-0.00021037751004,-2.53333333333e-05,,0.000154963855422,0.000214361445783,1.11646586345e-05,,0.00428218473896,-5.8562248996e-05,-3.52128514056e-05,-4.33815261044e-05,1.54618473896e-05,0.00015281124498,8.35341365462e-05,-3.52128514056e-05,-4.33815261044e-05,1.54618473896e-05,0.00015281124498,8.35341365462e-05,0.000154963855422
0.2544,-0.00019637751004,-2.73333333333e-05,,0.000152963855422,0.000182361445783,-6.48353413655e-05,,0.00463618473896,-6.4562248996e-05,-5.12128514056e-05,-3.13815261044e-05,9.46184738956e-06,0.00013881124498,6.35341365462e-05,-5.12128514056e-05,-3.13815261044e-05,9.46184738956e-06,0.00013881124498,6.35341365462e-05,0.000152963855422
0.256,-0.00018437751004,-1.33333333333e-05,,0.000148963855422,0.000198361445783,6.31646586345e-05,,0.00484418473896,-6.4562248996e-05,-7.72128514056e-05,-2.93815261044e-05,-2.53815261044e-06,0.00013281124498,5.95341365462e-05,-7.72128514056e-05,-2.93815261044e-05,-2.53815261044e-06,0.00013281124498,5.95341365462e-05,0.000148963855422
0.2576,-0.00018437751004,-7.33333333333e-06,,0.000142963855422,0.000170361445783,7.11646586345e-05,,0.00503418473896,-6.0562248996e-05,-9.72128514056e-05,-2.73815261044e-05,1.74618473896e-05,0.00012281124498,5.95341365462e-05,-9.72128514056e-05,-2.73815261044e-05,1.74618473896e-05,0.00012281124498,5.95341365462e-05,0.000142963855422
0.2592,-0.00018837751004,-9.33333333333e-06,,0.000142963855422,0.000114361445783,0.000251164658635,,0.00517418473896,-4.8562248996e-05,-0.000105212851406,-2.13815261044e-05,1.46184738956e-06,0.00011681124498,6.35341365462e-05,-0.000105212851406,-2.13815261044e-05,1.46184738956e-06,0.00011681124498,6.35341365462e-05,0.000142963855422
0.2608,-0.00018437751004,-1.33333333333e-05,,0.000144963855422,3.83614457831e-05,0.000455164658635,,0.00534618473896,-2.2562248996e-05,-0.000129212851406,-3.53815261044e-05,1.34618473896e-05,0.00010681124498,6.55341365462e-05,-0.000129212851406,-3.53815261044e-05,1.34618473896e-05,0.00010681124498,6.55341365462e-05,0.000144963855422
